SN,gender,age,edu,nos,years,VAR00003,position,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,os1,os2,os3,os4,os5,os6,os7,os8,os9,tdo1,tdo2,tdo3,tdo4,tdo5,tdo6,tdo7,tdo8,tdo9,tdo10,tdo11,tdo12,tdo13,tdo14,tdo15,tdo16,tdo17,tdo18,tdo19,tdo20,tdo21,tdo22,bot1,bot2,bot3,bot4,bot5,bot6,bot7,bot8,bot9,bot10,ocb1,ocb2,ocb3,ocb4,ocb5,ocb6,ocb7,ocb8,ocb9,ocb10,ocb11,ocb12,ocb13,ocb14,ocb15,ocb16,ocb17,ocb18,ocb19,ocb20,fcms1,fcms2,fcms3,fcms4,fcms5,fcms6,Engmt,Orgs,Orgstd,opscg,suptss,suptmg,jrcbt,pbot,cms,fcmst,tdop,bot,alt,spst,cout,cvcv,cons,OCB,nedu,nage,ninvl,nyrs
51,1,4,5,6,6,1,credit officer,6,7,5,6,6,7,6,7,4,6,4,4,3,6,6,6,6,6,5,5,5,2,3,3,6,6,6,6,6,5,5,5,5,6,6,6,5,6,6,5,3,4,3,3,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,3,4,4,4,4,4,54,47,10,8,27,45,19,11,7,19,90,37,14,35,21,19,24,113,2,2,2,3
52,2,3,5,4,4,2,assistant,7,6,7,6,6,7,7,7,2,6,5,6,5,6,5,4,5,4,5,4,5,6,5,4,4,5,2,4,5,5,5,4,6,5,4,5,5,6,5,4,4,4,3,5,4,5,5,4,4,4,7,7,7,7,7,7,7,7,7,7,5,6,6,6,1,1,1,1,1,1,5,4,4,4,5,5,55,46,9,15,21,38,22,11,9,22,83,42,14,35,18,7,4,78,2,1,1,2
53,2,3,5,4,4,2,assistant,7,6,7,6,6,7,7,7,2,5,4,5,4,5,5,3,5,5,5,5,4,4,5,5,4,4,3,3,5,5,5,3,3,4,4,5,3,5,4,4,5,4,5,4,5,4,5,4,4,4,4,4,7,7,7,7,5,5,7,7,7,7,7,7,7,7,6,6,6,6,3,2,3,4,4,4,55,41,9,14,19,31,23,13,8,16,73,44,8,35,21,21,24,109,2,1,1,2
54,2,2,4,2,2,2,junior assistant,4,5,5,5,7,6,5,5,5,4,5,5,6,6,6,6,5,6,6,5,6,5,2,5,6,4,5,5,6,5,5,4,5,6,5,4,6,4,4,5,5,5,5,5,5,5,5,5,5,5,7,7,6,6,6,6,7,7,6,6,7,7,7,7,6,6,6,6,6,6,3,4,3,5,5,5,47,49,11,12,24,41,25,15,10,20,88,50,14,30,21,19,24,108,1,1,1,2
55,1,6,5,7,5,1,officer,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,6,7,6,5,4,3,2,1,3,4,5,6,7,5,4,3,2,1,4,1,3,5,3,3,3,3,4,5,3,3,3,6,6,6,6,6,6,6,5,4,3,3,3,3,3,5,5,5,5,1,2,3,4,5,3,16,9,9,19,20,28,14,13,6,13,76,33,6,30,9,10,20,75,2,3,2,2
56,2,5,5,5,2,1,officer,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,4,4,4,4,4,4,45,45,12,18,28,46,20,12,8,20,104,40,12,25,15,15,24,91,2,3,1,2
57,1,3,5,4,2,2,assistant officer,6,5,7,7,6,6,7,5,6,3,3,2,2,6,3,2,3,6,3,2,3,5,4,4,5,4,4,5,5,3,4,4,4,4,6,5,5,5,5,4,4,4,4,4,4,4,4,3,4,2,7,7,5,5,5,5,5,5,5,4,3,4,4,4,4,4,6,6,6,6,5,4,4,5,5,5,55,30,5,13,23,34,19,12,6,23,75,37,14,25,12,11,24,86,2,1,1,2
58,2,3,5,6,1,2,senior assistant,4,5,5,6,5,7,5,5,5,4,5,5,6,6,6,6,5,6,6,5,6,5,5,6,4,5,5,6,6,5,5,5,4,5,5,5,4,6,4,4,5,5,5,5,5,5,5,4,5,5,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,6,6,6,6,6,1,3,4,3,5,5,47,49,11,16,25,38,24,15,10,16,90,49,14,35,21,18,24,112,2,1,2,1
59,1,4,5,12,9,4,manager,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,45,45,10,15,25,40,20,12,8,20,90,40,12,30,18,18,24,102,2,2,3,3
60,1,4,5,10,5,1,officer,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,46,45,10,15,25,40,20,12,8,20,90,40,12,30,18,18,24,102,2,2,2,2
